县,年末总人口,行政区域土地面积（平方公里）,地区生产总值（万元）,第一产业增加值（万元）,第二产业增加值（万元）,第三产业增加值（万元）,地方财政一般预算收入（万元）（2003年及之前为“地方财政预算内收入”）,地方财政一般预算支出（万元）（2003年及之前为“财政总支出”）,各项税收（万元）,城乡居民储蓄存款余额（万元）,人均地区生产总值（元/人）,规模以上工业总产值（现价）（万元）,adcode,province,city,district
龙游县,40.1984,1143.0,2319458.0,136394.0,995356.0,1187708.0,189283.0,682053.0,,2119865.0,61712.0,2535200.0,330825.0,浙江省,衢州市,龙游县
常山县,34.3587,1097.0,1503682.0,79963.0,630248.0,793471.0,117850.0,556540.0,,1426755.0,58933.0,1305100.0,330822.0,浙江省,衢州市,常山县
江山市,61.551,2019.0,3034087.0,226964.0,1361243.0,1445880.0,205409.0,676800.0,,3401153.0,62617.0,2775900.0,330881.0,浙江省,衢州市,江山市
开化县,36.1841,2231.0,1468001.0,136528.0,524157.0,807316.0,99475.0,659797.0,,1372709.0,57512.0,956300.0,330824.0,浙江省,衢州市,开化县
衢州市柯城区,44.12,,,,,,,,,,,,330802.0,浙江省,衢州市,柯城区
衢州市衢江区,41.22,1748.0,1984745.0,205391.0,746236.0,1033118.0,175233.0,518253.0,,1553937.0,,,330803.0,浙江省,衢州市,衢江区
慈溪市,105.9605,1361.0,18986390.0,557174.0,11500000.0,6965209.0,2016852.0,2165691.0,,14728382.0,122730.0,33175200.0,330282.0,浙江省,宁波市,慈溪市
余姚市,83.5927,1501.0,11662575.0,477416.0,6640798.0,4544361.0,1072259.0,1225924.0,,9893140.0,100280.0,18342300.0,330281.0,浙江省,宁波市,余姚市
宁波市奉化区,48.0597,1268.0,6452524.0,311090.0,3922730.0,2218704.0,600046.0,822653.0,,3692715.0,125170.0,7133800.0,330213.0,浙江省,宁波市,奉化区
象山县,54.6628,1382.0,5485892.0,772243.0,2374260.0,2339389.0,462599.0,774649.0,,3335732.0,103507.0,6512600.0,450304.0,广西壮族自治区,桂林市,象山区
宁海县,63.3918,1843.0,7010784.0,462672.0,3636063.0,2912049.0,660175.0,907608.0,,3557486.0,102273.0,9241900.0,330226.0,浙江省,宁波市,宁海县
宁波市鄞州区,93.0518,814.0,22110182.0,265411.0,6300574.0,15544197.0,2693293.0,2335341.0,,18312000.0,156502.0,16990400.0,330212.0,浙江省,宁波市,鄞州区
宁波市镇海区,27.16,,,,,,,,,,,,330211.0,浙江省,宁波市,镇海区
宁波市北仑区,42.97,,,,,,,,,,,,330206.0,浙江省,宁波市,北仑区
宁波市江北区,26.28,,,,,,,,,,,,330205.0,浙江省,宁波市,江北区
宁波市海曙区,63.35,,,,,,,,,,,,330212.0,浙江省,宁波市,鄞州区
郎溪县,33.9,1101.0,1801005.0,179139.0,974418.0,647448.0,293000.0,391960.0,,1227000.0,51808.0,,341821.0,安徽省,宣城市,郎溪县
广德市,50.8,2116.0,3212359.0,242359.0,1547000.0,1423000.0,454717.0,541237.0,,1956000.0,61822.0,,341882.0,安徽省,宣城市,广德市
宁国市,39.9,2487.0,3673186.0,233874.0,2103806.0,1335506.0,309037.0,495236.0,,1849436.0,95745.0,,341881.0,安徽省,宣城市,宁国市
泾县,30.5,2055.0,1262635.0,187746.0,499244.0,575645.0,152902.0,370346.0,,1485140.0,35992.0,,341823.0,安徽省,宣城市,泾县
旌德县,12.5,905.0,525747.0,78549.0,211234.0,235964.0,87667.0,159664.0,,595546.0,35368.0,,341825.0,安徽省,宣城市,旌德县
绩溪县,15.9,1116.0,879326.0,133132.0,399413.0,346781.0,81941.0,179835.0,,796754.0,50371.0,,341824.0,安徽省,宣城市,绩溪县
